Iteration,Total_Wall_ms,HW_Write_ms,HW_Compute_ms,HW_Read_ms,SW_Overhead_ms
493,0.402004,0.024667,0.210562,0.037713,0.129062
494,0.558039,0.027364,0.4313,0.020898,0.078477
495,0.357538,0.036044,0.159963,0.044487,0.117044
496,0.253603,0.027699,0.111517,0.02337,0.091017
497,0.337196,0.025333,0.182261,0.036905,0.092697
498,0.491532,0.059826,0.33193,0.020187,0.079589
499,0.544939,0.052206,0.348844,0.037868,0.106021
500,0.31208,0.032901,0.180437,0.021027,0.077715
501,0.302087,0.025133,0.119776,0.038031,0.119147
502,0.363417,0.030484,0.237004,0.021511,0.074418
503,0.294456,0.026069,0.110866,0.037868,0.119653
504,0.318354,0.029175,0.19217,0.019416,0.077593
505,0.39731,0.024702,0.226991,0.037424,0.108193
